2025-07-30 21:14:32.216187 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.254213 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.280109 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.319102 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.365764 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.394836 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.423709 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.467402 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.512628 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.543880 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.567447 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.590095 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.621179 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.655231 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.680972 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.729004 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.776194 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.821380 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.869229 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.904930 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.934631 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.972782 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.998338 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:33.026727 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:33.061622 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:33.094238 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:33.117864 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:33.148252 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:33.178756 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:33.211913 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:33.241710 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:33.279130 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:33.305500 - Detected: i, Frame: data\dishant.jpg
